id,adhoc_category_id/id,review,sequence,support_type,conf_visibility,visibility_obs,repository_id/id,name
adhoc_module_server.module_base_8_0,,3,100,unsupported,normal,,repository_odoo_openerp_addons_80,base
adhoc_module_server.module_test_access_rights_8_0,,,100,unsupported,installed_by_others,,repository_odoo_openerp_addons_80,test_access_rights
adhoc_module_server.module_test_convert_8_0,,,100,unsupported,installed_by_others,,repository_odoo_openerp_addons_80,test_convert
adhoc_module_server.module_test_converter_8_0,,,100,unsupported,installed_by_others,,repository_odoo_openerp_addons_80,test_converter
adhoc_module_server.module_test_documentation_examples_8_0,,,100,unsupported,installed_by_others,,repository_odoo_openerp_addons_80,test_documentation_examples
adhoc_module_server.module_test_exceptions_8_0,,,100,unsupported,installed_by_others,,repository_odoo_openerp_addons_80,test_exceptions
adhoc_module_server.module_test_impex_8_0,,,100,unsupported,installed_by_others,,repository_odoo_openerp_addons_80,test_impex
adhoc_module_server.module_test_inherit_8_0,,,100,unsupported,installed_by_others,,repository_odoo_openerp_addons_80,test_inherit
adhoc_module_server.module_test_inherits_8_0,,,100,unsupported,installed_by_others,,repository_odoo_openerp_addons_80,test_inherits
adhoc_module_server.module_test_limits_8_0,,,100,unsupported,installed_by_others,,repository_odoo_openerp_addons_80,test_limits
adhoc_module_server.module_test_new_api_8_0,,,100,unsupported,installed_by_others,,repository_odoo_openerp_addons_80,test_new_api
adhoc_module_server.module_test_uninstall_8_0,,,100,unsupported,installed_by_others,,repository_odoo_openerp_addons_80,test_uninstall
adhoc_module_server.module_test_workflow_8_0,,,100,unsupported,installed_by_others,,repository_odoo_openerp_addons_80,test_workflow
adhoc_module_server.module_crm_8_0,,0,2,unsupported,auto_install,,repository_odoo_addons_80,crm
adhoc_module_server.module_mail_8_0,,,2,unsupported,installed_by_others,,repository_odoo_addons_80,mail
adhoc_module_server.module_account_voucher_8_0,,,4,unsupported,installed_by_others,,repository_odoo_addons_80,account_voucher
adhoc_module_server.module_hw_blackbox_be_8_0,,,6,unsupported,future_versions,,repository_odoo_addons_80,hw_blackbox_be
adhoc_module_server.module_hw_escpos_8_0,,0,6,unsupported,future_versions,,repository_odoo_addons_80,hw_escpos
adhoc_module_server.module_hw_proxy_8_0,,,6,unsupported,future_versions,,repository_odoo_addons_80,hw_proxy
adhoc_module_server.module_hw_scale_8_0,,,6,unsupported,future_versions,,repository_odoo_addons_80,hw_scale
adhoc_module_server.module_hw_scanner_8_0,,,6,unsupported,future_versions,,repository_odoo_addons_80,hw_scanner
adhoc_module_server.module_point_of_sale_8_0,,,6,unsupported,future_versions,,repository_odoo_addons_80,point_of_sale
adhoc_module_server.module_pos_discount_8_0,,,6,unsupported,future_versions,,repository_odoo_addons_80,pos_discount
adhoc_module_server.module_pos_restaurant_8_0,,,6,unsupported,future_versions,,repository_odoo_addons_80,pos_restaurant
adhoc_module_server.module_project_8_0,,,8,unsupported,installed_by_others,,repository_odoo_addons_80,project
adhoc_module_server.module_note_8_0,module_category_usability,,9,unsupported,normal,,repository_odoo_addons_80,note
adhoc_module_server.module_project_issue_8_0,module_category_project,2,9,supported,normal,,repository_odoo_addons_80,project_issue
adhoc_module_server.module_account_accountant_8_0,,,10,unsupported,installed_by_others,,repository_odoo_addons_80,account_accountant
adhoc_module_server.module_survey_8_0,,,10,unsupported,future_versions,,repository_odoo_addons_80,survey
adhoc_module_server.module_sale_8_0,,,14,unsupported,installed_by_others,,repository_odoo_addons_80,sale
adhoc_module_server.module_sale_layout_8_0,,,14,unsupported,future_versions,,repository_odoo_addons_80,sale_layout
adhoc_module_server.module_stock_8_0,,,16,unsupported,installed_by_others,,repository_odoo_addons_80,stock
adhoc_module_server.module_stock_account_8_0,,,16,unsupported,normal,,repository_odoo_addons_80,stock_account
adhoc_module_server.module_stock_landed_costs_8_0,,,16,unsupported,on_config_wizard,,repository_odoo_addons_80,stock_landed_costs
adhoc_module_server.module_im_chat_8_0,,,18,unsupported,future_versions,,repository_odoo_addons_80,im_chat
adhoc_module_server.module_mrp_8_0,,,18,unsupported,installed_by_others,,repository_odoo_addons_80,mrp
